model,features,split,best_hparams,val_accuracy,val_macro_f1,test_accuracy,test_macro_f1,n_train,n_val,n_test,feature_dim
Logistic,flat,block_aware,"{'max_iter': 2000, 'solver': 'lbfgs', 'C': 0.1}",0.8225806451612904,0.8079275563146532,0.8228969006957622,0.8181897969320246,1860,186,1581,19200
LinearSVM,flat,block_aware,"{'max_iter': 3000, 'C': 0.01}",0.6021505376344086,0.5638736996771553,0.6097406704617331,0.5984640848005871,1860,186,1581,19200
Ridge,flat,block_aware,{'alpha': 0.1},0.6182795698924731,0.5914596577784434,0.6027830487033523,0.5988666327133575,1860,186,1581,19200
Logistic,temporal,block_aware,"{'max_iter': 2000, 'solver': 'lbfgs', 'C': 1.0}",0.8010752688172043,0.7910766652702139,0.8051865907653384,0.8013398778230424,1860,186,1581,576
LinearSVM,temporal,block_aware,"{'max_iter': 3000, 'C': 0.01}",0.6290322580645161,0.6303876231295586,0.6774193548387096,0.6716647455504653,1860,186,1581,576
Ridge,temporal,block_aware,{'alpha': 10.0},0.6612903225806451,0.6423045592400431,0.7033523086654017,0.6951704521431173,1860,186,1581,576
Logistic,flat,random_trial,"{'max_iter': 2000, 'solver': 'lbfgs', 'C': 10.0}",0.8544652701212789,0.8474109714676843,0.8401323042998897,0.8389174786387598,1813,907,907,19200
LinearSVM,flat,random_trial,"{'max_iter': 3000, 'C': 0.01}",0.6383682469680264,0.6242511335154715,0.6130099228224918,0.601259155363865,1813,907,907,19200
Ridge,flat,random_trial,{'alpha': 0.1},0.6372657111356119,0.6323020137454832,0.6383682469680264,0.6340182514102514,1813,907,907,19200
Logistic,temporal,random_trial,"{'max_iter': 2000, 'solver': 'lbfgs', 'C': 0.01}",0.8500551267916208,0.8454249384314562,0.8180815876515987,0.8154801152290364,1813,907,907,576
LinearSVM,temporal,random_trial,"{'max_iter': 3000, 'C': 0.01}",0.7364939360529217,0.7327639995856278,0.7034178610804851,0.7016958234844637,1813,907,907,576
Ridge,temporal,random_trial,{'alpha': 10.0},0.7375964718853363,0.7299411254375123,0.7276736493936052,0.7243517191610702,1813,907,907,576
